youtube_id,label,path
GcTww0NOCk0,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\GcTww0NOCk0_000041_000051.mp4
zeIkGEHK46I,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\zeIkGEHK46I_000088_000098.mp4
-Fwy8NwefTk,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\-Fwy8NwefTk_000010_000020.mp4
YYgESo5eQD8,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\YYgESo5eQD8_000004_000014.mp4
38Ml6v4vPzY,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\38Ml6v4vPzY_000009_000019.mp4
sDD0p8h88rI,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\sDD0p8h88rI_000000_000010.mp4
09AinCnKAE8,riding camel,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\09AinCnKAE8_000010_000020.mp4
oSLF9nm-FsA,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\oSLF9nm-FsA_000002_000012.mp4
qyTDZajMSqQ,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\qyTDZajMSqQ_000069_000079.mp4
pRebkWHsHC0,writing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\pRebkWHsHC0_000065_000075.mp4
nGx0rZBQa84,wrapping present,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\nGx0rZBQa84_000257_000267.mp4
EFuWFeI2g6U,ripping paper,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\EFuWFeI2g6U_000035_000045.mp4
I5Uv9aGiyOQ,situp,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\I5Uv9aGiyOQ_000007_000017.mp4
QpBihhfoqiA,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\QpBihhfoqiA_000023_000033.mp4
O8pbfj5KkaI,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\O8pbfj5KkaI_000325_000335.mp4
yYCLK5m4hYw,writing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\yYCLK5m4hYw_000297_000307.mp4
vDrA6LEFvUQ,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\vDrA6LEFvUQ_000000_000010.mp4
jNZq06PrwTM,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\jNZq06PrwTM_000073_000083.mp4
LJUeH2YMWN8,hopscotch,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\LJUeH2YMWN8_000004_000014.mp4
C4Sv9AIOzCI,dying hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\C4Sv9AIOzCI_000506_000516.mp4
YgYJGayETlI,stretching leg,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\YgYJGayETlI_000028_000038.mp4
I7ZNgqUKjZ0,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\I7ZNgqUKjZ0_000038_000048.mp4
nHC09bqk9u0,golf driving,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\nHC09bqk9u0_000211_000221.mp4
LKzoGC1npcw,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\LKzoGC1npcw_000828_000838.mp4
BLHhmBU-Tts,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\BLHhmBU-Tts_000020_000030.mp4
h8AGcIHRsoc,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\h8AGcIHRsoc_000590_000600.mp4
8vmr4mHxmks,shot put,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\8vmr4mHxmks_000011_000021.mp4
8fSF6jCy7Qk,spraying,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\8fSF6jCy7Qk_000033_000043.mp4
ZEB0X4ojJbI,playing ice hockey,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\ZEB0X4ojJbI_000031_000041.mp4
QF0u6V3l5HI,balloon blowing,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\QF0u6V3l5HI_000000_000010.mp4
WxT0lvdXWms,golf driving,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\WxT0lvdXWms_000000_000010.mp4
rIFZmnb-VsY,texting,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\rIFZmnb-VsY_000012_000022.mp4
dwCRDTaKZ8Y,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\dwCRDTaKZ8Y_000132_000142.mp4
S7UXJIM8QpU,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\S7UXJIM8QpU_000013_000023.mp4
xpx6ccaYIE4,baking cookies,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\xpx6ccaYIE4_000431_000441.mp4
OiwxcoT2Xog,wrapping present,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\OiwxcoT2Xog_000453_000463.mp4
fci8rGISpEA,texting,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\fci8rGISpEA_000004_000014.mp4
EFVkN6zUta0,playing clarinet,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\EFVkN6zUta0_000582_000592.mp4
MGpIlEFl96Q,cooking chicken,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\MGpIlEFl96Q_000176_000186.mp4
gCtibUWTcYo,fixing hair,G:\.shortcut-targets-by-id\1n5yaFEuSp2yBTSRo7uPhTRPAPXl-Iy74\train_subset\gCtibUWTcYo_000001_000011.mp4
